Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X, Y, Intended X, Intended Y, Scan Velocity, Laser State, Laser Rep. Rate, Spot Type, Spot Size, Spot Angle, MFC1, MFC2, Cell Pressure, Fluence At Sample
2022-12-05 14:09:38.778,1,1,,Mali_1,45159,48249,,,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:09:38.778,,,,,45159,48249,,,0,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:09:38.778,,,,,45159,48249,45159,48249,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:09:38.778,,,,,45159,48249,,,,On,4,Manual: B,20,0,0,0,0,
2022-12-05 14:09:53.808,,,,,45159,48249,,,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:17.311,2,1,,Mali_2,45189,48249,,,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:17.311,,,,,45189,48249,,,0,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:17.311,,,,,45189,48249,45189,48249,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:17.311,,,,,45189,48249,,,,On,4,Manual: B,20,0,0,0,0,
2022-12-05 14:10:32.318,,,,,45189,48249,,,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:56.057,3,1,,Mali_3,45219,48249,,,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:56.057,,,,,45219,48249,,,0,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:56.057,,,,,45219,48249,45219,48249,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:10:56.057,,,,,45219,48249,,,,On,4,Manual: B,20,0,0,0,0,
2022-12-05 14:11:11.066,,,,,45219,48249,,,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:11:34.741,4,1,,Mali_4,45249,48249,,,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:11:34.741,,,,,45249,48249,,,0,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:11:34.741,,,,,45249,48249,45249,48249,,Off,0,Manual: B,20,0,0,0,0,
2022-12-05 14:11:34.741,,,,,45249,48249,,,,On,4,Manual: B,20,0,0,0,0,
2022-12-05 14:11:49.747,,,,,45249,48249,,,,Off,0,Manual: B,20,0,0,0,0,
